,Tweet,Label
32,me right now: ye sun'ny k liye intzar kia tha! 😑😭 #pslv #psl2020 #tyyarhain ,1
33,tum jesi ghatia aurat ka kam hi ni hai media par.kisi kothhay pe ja aur ulta late ja ke.begherat,0
34,"bhai, koi tip hi de dyn phr aap? 😂😂",1
35,haha randi saali geeli hoae tu,0
36,rt : tf is wrong with arsenal. why the helll are you building from the backkkkk bhenchod where are your braincellss,0
37,  mickey mouse dakho chup kar k 😤,0
38,rt : bhenchod pakad pakad ke musalmano se bayan le rahe hain 😬😂😂,0
39,bat bhagnaay ki nahi hai randi tu hai randi tujhsy to achay achay side pe hotay hai magar koi koi teri maa chodta hai un mai sy aj mai ek hogya jo teri maa chod gya,0
40,gandu dimag bahanchod senseless baatein bosdkbosdk  likhne se phle soch to,0
41,you need to research how many lands islam invaded in the 200 years after the hijra.,1
42,aurat ho gy tum 😡😡,0
43,hello aunty he is just hitting his own thigh   kon si aankh se dekh rahi   yaa jyaad ho gya eeeks nakal gya rumhara   saali c grade bitch 😡😡🖕🏻🖕🏻🖕🏻,0
44,  ja bibi maaf kar..🤣🤣,1
45,dekh logo ko cheat b krre h ... or ek bhenchod hmara to koi katne ko b tyaar nhi 🥺,0
46,   jab hogi tab bhonkna yaha pe kukku name pta karlena punjab matlab btau sidhe shabdo me ( rand ),0
47, hahahah rameen api pata nahi kahin parha tha id remember. khet ap keh rhi hyn thik hi hoga 🙊😂,1
48,buht zaberdast choice ha apke 👌,1
49,ji o chodry ustaad lgga en... india di pehn di siri,0
50,   nai nai nai bilkul bhi nai matlab tum ho kon jiski my ny tension leni hy wo to aesy hi my msgs kar rahi thi ky meryum sahiba wapes a jain,1
51, lanti insan google kro phr bakwas kro ahlebait jan qurban hy tumhari trha nhe bughz main bhray hoay,0
52,"admission ke liye tumhare pass i'd hai ,free ka gas ,home and so many nrc me tumhe kya problem yadi itna hi problems hain to pakistan bhag bhodsri saali",0
53,rt : black friday is yahoodi name..  so we are celebrating white/big friday 😝format yahoodi ho name yahoodi nahe hona chaye 😂,1
54, 😏😏😏 noi g mai backbencher thi,1
55,harrami police rishwat khore like imran chore zakat khore yahodi agents both are bajwa and imran chore destroyed pakistan and business of pakistan nation. lakh lanat teray jaman tay harrami qadiyani,0
56,tukde tukde gang ke baare mein bhi bhaunk le kuch kutte...apne baap kanhaiya chutiye ke baare mein bol...keju kutte ke baare mein bol...namo forever 👍👍,0
57,yeh bh...ri ka mch bahut bhaunk raha hai now needs castration,0
58,soch rha hn danish bhuk ki waja sy mara ha?,1
59,phir tau aap dab sae bari ahmaq hain kay aapke mutabaq jo chief ahmaq hai uss say tau baray shauq say shadi kar lo thi.,0
60,"trri pen ki chooli q jalti ha randi k bachy  tera kia kaam army k mamlaat mein bolny ka ,  or haram k pillay tum lpg deshat ghard ho harami  afghani nikalo humary mulk say ,  tum ne apny haramiyun k sath  firing kr k q jawan shaheed kiay ?  kis yahodi k tookron pe palta ha tu kuttay",0
61, cigrette vale pe b blush kiye thee,1
62,ps: main bhi small handle hoon.🙏🙏 abhi abhi ek bhai saheb taana maar ke gaye hain 😀😀,1
63,  hmain tou nzr nai ain kbhi teri stories😜😂😂,1
64,sardar mat bol isko yr or kuch bhi bol ganda sa sardar nhi hai aurat ki respect nhi karta asli nhi hai,0
65,aap 11 se pehle daal lia krien us me jo kch dalna ho,1
66,wah g munafiqat pm to charsi he hai hamara jaha marzi ho banda pm hamara woi rahey ga apeal be usi ko kerni,0
67,atankwadi pragya kya wo tere maa baap ko bomb se udai kya jo tu chutiya paida hua or digvijay singh jo rishte me tera baap lagta h usne bola tha hafiz sahid ji osama ji samjha n gutterchhap.,0
68,date pe bill khud pay kro. #stopauratbarbadimarch,1
69,    pattharbaazi aur public property wahi damage karte jo 10-10 bachche paida karke 1 paise ka tax na dete. jinki jeb se paisa jaata unhe hi kadar hoti. abhi jo tax dete wo dikhayenge 2024 mein 2019 ka repeat telecast 😂,1
70,q kasa diya .#coronarvirus bhai please bachoo is virus se #help karo bus ki.#godsaveus ,1
71,hahaha pahly sochun ga phir nah kah dunga,1
72,  kis k jahaz pe gai sawal ye hai😜😜😜😜😜,1
73,   bhai aap bhi samjho. sirf 20 seconds mein sara drama pura. media coverage walon ko koi darr nhi. gajjab!!!! 🤔🤔🤔🤔🤔  ,1
74, mujhe tm par fakhr h tumhe main bohat bohat pasnd karta ho i really like you agr meri baat achi lage to reply karna,1
75,bahanchod kash us din teri maa ne oral hi kr lia hota,0
76,lun pr charey  apni marzi se aye hain bharwe,0
77,le ab toh effect mein bhi aa gaya...ab ek kar burnol laga le...🤣🤣🤣🤣🤣🤣 kuch ukhad payi kya abhi tak pakistani suariya...tere saath ke kutte bhi bas bhaunk paye ...,0
78, na andha na bahra pyar chalak hota ha 🎶,1
79,rao jee apke peechay konsi mehwish parr gayi hai.,1
80, allah ki mehrbani se dushman per lanat,0
81,nicknames of my friends are quite unique. 1. basanti💃 2. charsi👺 3. billo😸 4. saddiqui chowk😜 5. neeli🤣,1
82,  dekh sab ko pata ke ab tu mujhe yaad nii krti🙂,1
83,g bilkul laanat ho aesi kartuton par..!! this is clear violation of military sops. budhhay ko sharam karni chahiye thori si..!,0
84,tumse to wo bhi nhi bach pa rahi 🤣🤣🤣,1
85, kon hai headr mein ? 👀,1
86,wasy ek cheze nahi kahi pm ny  pakistani o ghabrana nahi ha,1
87,"chandrachud ki sahi li jaa rahi hai, lekin ye bhenchod nazeer ko free pass  kaise mil raha hai?",0
88," apki behuda soch kisi b logo k pichy chupy iska pata logo ko chal hi jana hy, bs dukh is baat ka hy k hamary kuch bewaqoof log bina sochy aap jesi aurato ki bato me ajaty hyn.",0
89,"rt :  are jo baag mein betthe hai unko samjho, tum ko samj mein aa gaya to kya laddu bante 😊😊😁😁",1
90,  na na koi buri bat nhi khudh bhi stalk krti aap,1
91,"ye kia bolrhy janab. pcb na hire ki ha through bid , tu they have gone through some bid at first. wo dainga na paisay pcb ko , aue khud wo ad's sa kamah ga aur viewershop etcetc sa",1
92,aby gashti aurat apni mou say b allah ka naam na lay,0
93,"sc tou abhi bhi pro niazi hai , niazi ki khwahish par ns ko disqualify kya , wahan case kyon nahi jata niazi apna randi rona lay kar?",0
94,yahan ki fizaaaa randi hai mitti to phir andaza laga lo,0
95,bahanchod pant ye bsdk deserve karta hai international cricket me.  #indvban,0
96, pta nahi is bry me mujhy.. dekhny wlai ankh py dipnd hota hai.. wo wesa he dekhta hai yan nzren bdl k..,1
97,"agreed. but you have to take the point ""controversy"" just like you mentioned him ""daku"". proof to ap k pas b nai mgr zuban zadd e am bat hy to keh di ap ny b.. same like ritchie ny b mention kia k aisi baten suni gai hain. leave this now",1
98, phr tu tmko tension lene ki zarorat nii,1
99,"so bilowal calling him beghairat,all those mullah brigades called him qadiyani, yahoodi talking abt hiswife, who has nothing to do with politics, is justified but he cant say anything?? what a logic.he can do and say whatever the fuck he want to. he is pm. u r nothing but a zero",1
100, 😂😂😂 yeh tu bilkul. mery bety ki trha baat kr rha hi,1
101,lakh lanat jhoota munafiq tareen yahodi imran chore zakat khore yahodi agents both are bajwa and imran chore zakat khore destroyed pakistan,0
102,bus aik moka ki talash mei hota hai jany wala👣 bhi or nibhany wala bhai 💔 ,1
103,aby saalay😂😂😂,0
104,when your friends talking  about you: tu boht bda harami h me:😂👇,0
105,lo pakistan marne i ha 😐 ye tw ase ha k ao mujy qandeel bnao,0
106, i love gurh walay rice. kal he amma ko gurh laa k deta hun,1
107, 😕😕mobile kahan sa aagya bech main😕,1
108,kitne paise liye the randi ne is video ke liye,0
109,"doob maro police waalo, jiska skull faad diya gaya bhenchodo usi ladki k khilaaf f.i.r kr di, ye tumhare baap itne khule statement de rhe h to gaand fat rhi h action lene me, abvp walo ko sympathy de rhe the aram se rehne ko or bharat mata ki hai,thu hai aise bharat maa kehne pr",0
110,randi he😂,0
111,toh kya teri bahen ya amma k naam ka church banao bol bhadwe suar ki nasal bat izzat se kar izzat milegi nahi toh teri har ek nasal yaad karegi mereku teri maaa bhos,0
112,bahanchod chutiye sale ek hi tweet sare copy karte hai. pata nahi chal pata original kiska hai.,0
113,rt : man why’s the tims line on campus always so long. beghairat insaano kabhi ghar se bhi cha pee ke ajao. fitteh mooh saareyan…,0
114,zawaal ka ye alam hai k inko pta e nahi k pull short front foot py khelni ya back foot py..  shayd yahi wajah hmary players bouncy tracks py khel nahi sakty.  i hope  inki technique me bahtre layn gy. dear anchors need comments please.   ,1
115,abe chutiye suar 🐖...wo jab dawa kiya tha tab tera baap tha wo aur aaj jb tu bol rha tab antonio teri ammy aur powar tera baap h,0
116, to aur kon hy dkho twitter walon ko b pta chal gya 😂😂,1
117, ye aurat march liberal women ka h jo khud corrupt hain mein is march k way k against hn jo hashtag wo b ghalat h march ho but according rights k hon na k barabari pa ho,1
118,hinduon me halala aur triple talaq jaisi koi cheez nai hoti.,1
119,"before #pakistan starts criticizing norway, australia or anybody else for islamophobia, we should ensure that our own ahmedi, hindu, christian citizens are treated equally and with dignity. fix your own damn house first!",1
120,"hope they could have stand against triple talaq, halala, nikah mutah, polygamy, child marriage than they could have done justice to the gender",1
121,hnss bad me lna pehly khilao ab😌 tera via fr jaldi ho jye ga😂😂,1
122,"raat ko mei ney khawab dekha mujy isi waly utha k ley ja rhy hin.. 😂😂 aur mei dil mei soch rahi thi kitny handsome hin.. acha hi ley k ja rahy, roz dekhny ko milin gaye. 😂😂😂😂😂😂😋",1
123,aik to ap sedhi bat ko b nagetive hi lati ho phly hi kha tha positive lo r nazar aa rha ha miner kon la rha ma ya ap,1
124,rt : bchoo follow kroo sahab hoo ❤️ burry kam chor diya hain bhai ny 🤐,1
125,kya in islamic leaders ko ye nhi pta ky kisi ky character pr buhtaan ya thhmat nhi lgaty kon sa islam prha hy or kis islam ki roh sy ye imran khan ko yahodi khty hyn  sharam aani chahiay inhy apni garkton py,0
126,roz dil udaas ho jata hai lekin damjh nahi aati udassi kis baat pe hai💔,1
127,yeah aink wala dado abusing krta hijra net par baat kar is ki lee kaal mai bhot hijra hai yeah😂😂😂,0
128, ni na main dhundugi na tumhary lie koi churail pareshan mat jo tim,0
129,tune badi randiya chodi hai na. bada aya. ma yawa.,0
130,😂😂 bhai abhi toh shadi kon karwaega  bhai..!!  sirf milake chod diya tumne 😂😂,1
131,"haram khor ha yh media,, mathrchod ki olad",0
132, chalo aap kehti hain to maan lete hain,1
133,guys i found utterly idiot.   lol   muh se akhrot todne ke liye  muh mein dant ki jarurat hoti hai  🤣  muh mein le le for time been. 😉,0
134,"  hahahah mgy b kuch samg nae a raha, hum b awean lagy huy hai.. be a part of it awaen boli jaoo ap b kuch b 🌚🌚😂😂",1
135,maine bhi yahi para ha yar,1
136,wait i'm coming for fixing your heart 😂😂😂 btw yaar kasme 2 din sey neend nai a rahi pta nai kiun,1
137, krlo isme kya hai... apko nahi mlsa to kisi ko q hoga. 🙃,1
138,faasla rakhain phir bad men ap ka istakharaa nhn mil rha hota... ,1
139,aao randi mere land pe bethho jannat dikha dunga,0
140,aby pgly bs kr rulay ga kia,1
141,😲😲😂 ye mene kia dekh lia 😂😜 kon hy ye aadmiii😂🤣,1
142,"mera to dil der gya, establishment itni ahmaq hai, ke dobara ss ko pm bananye lagi hai",0
143,gandoo ke bache sharabi bharwe tu pakistan to aa,0
144,hahahahaha ... halala and triple ts are desired by muslims as per pe #sharia or saria ! big confusions,1
145,bhenchod,0
146, behere andhe ho gaye hai aaj..  ko #siddharthshuklason_in_law_of_colors english mein baat kar raha hai..  change the bigg boss person,0
147,yes agreed 👍🏻koi haqooq ly kar pyda nahin hoi... alhamdulillah aourat ko tahfuz deen e islam ny diya quran pak se milay sub haq 😍. ,1
148,phr akhroat hi kha chlgoze ko bhul ja. 😂,1
149,hahahaha. 😂😂 phr bhe akmal ka nam nhai lene ka us beghairt ko jitne chance mile kisi aur ko milte world record banta,0
150,u sure? 1 sara din wala interact karne wala kam ho jaye ga ap ka medu apaaa,1
151,teri behan ka yaar idar he rundi k bachy  is time teri man k sath soya hua hon main or tu yahan behan c.h.u.d.w.a raha hey 🤣🤣🤣🤣🤣,0
152,abhi fahad mustafa aa kar bolta unique ki bike kisko chaiye to sab ki awaz nikalti bc crowd may fotgi ho gai thi kya 😂,0
153, shazaib apni baji ko b bejna han aurat march ma agr itne he zruri hai to,0
154,"doing rundi ronay 24/7:  -koi gf ban jaye, koi tu gf ban jaye  also me when a girl is being nice to me:  -ap to meri api ki trha ho",1
155,maa chudaaye deepika randi,0
156,jamiyey.halala ki aulaad,0
157,  mery pas kuch tweets k ss b thy jin ko dakh kar main bohat hansi thi 🌚🌚🌚😂😂😂😂,1
158, bhai main b ghareeb tu b ghareeb.   acha bura naseeb ka sab se bara ghareeb ka.,1
159,ab ye bhi bol do bsdk ki iska baap bhi school ka headmaster hai,0
160,foreign dramas: story plot narrative moral character development intriguing situations  pakistani dramas: randi rona randi rona randi rona randi rona randi rona  mazeed randi rona,0
161,is salman se koi ye to puchho ki mahira or aarti se jyada irritate krta h kya usko asim.kya plan le k aata h ye randwa har bar,0
162,  achaw bhaya cigrate churwany wala charus pe lga gya😛,1
163,allah pak aapko sehat de aur aap rashmi ko khud yeh btaao k aapne uske liye twitter join kiya tha,1
164,dil sambhal ja zara bhenchod!,0
165,  christine teri buddhi...ph****,0
166, han mn bh...itni achhi diagrams bnati th k mam taref kiy bna nahi rehti th,1
167, yeh ku nhn bta rahy k unky baf aese na ahil aye jo sirf dosrn ki buraiyan dhondte hen apne koi achar ka kam nhn kr skty,1
168,aap kiska intjar kr rhe yha so jao 😛😅,1
169,charsi khan se to achi hi he 👊,0
170,bhenchod sab mil kay chutiya bna rahe hain,0
171,nisa bharwi hum teeno kay beech mai mat ao randi please,0
172,mujh se to na ye long paragraphs likhy jaty hain or na he parhy jaty hain.,1
173, baat to aap ki sach hai maggar hota aaisa hi hai,1
174,so apke acc apne frnz k secrets game mein use krna sahi hai?,1
175, bara..chota toh mar k bhi koi kaam nhi karta..🙄,1
176, galt kiya ma ny,1
177,  2018 k election ma tehreek labaiak ko kafi vote para na 118 ma aur dosra rai aslam.kharal mpa ki seat pe ejaz shah k neechy tha baradari ka vote bhe taqseem hua dr sahiba ka is leye bht km margin se hari ha dr sahiba aur dhandli factor ko bhe nzr andaaz nh kiya ja skta,1
178, main mar gya hun..kuch din pehly depressed soul sy name change kia hy,1
179, clever hona b zroori h aj kal k doar mein  loyality abhi ap ny daikhi ni,1
180,ik toh ab mujhe yahoodi bacha lagta hai,0
181, umar fukriyan word punjabi people use karte hai .kabhi kabhi muze lagta hai tum dono brothers punjab se  hi ho.,1
182,  saeee tere pass mai ho hi naa jaun🙂,1
183,  exactly jab yeh bat meri dost ki aur meri hai toh tum kon?,1
184,ap bh kiya yad rakhyn gy k kis sakhii bhen sy pala para apka😂😂,1
185, jagh sb hi rahe hote singal social media pe nazar ate ar engaged apni partner k sth busy hote 😂😂,1
186,"tab tweet karna yaad nahi aaya jab ""islamic jehad"" group ne 200 rocket mare. sanatani hor yahoodi kya insaan nahi hain, unke bacche nahi hain kya.  shanti se rahenge, ""kehna hor rehna"" alag alag matlab hota hai.  ""karoge to bharoge"" allah ka niyam hai.🙏",1
187,aja gashti ab tere pics or tujhe insta py randi k naam se famous krta hun gashti aurat,0
188,chl rundi k bachay khadray😂😂😂😂,0
189,rt : 14 feb k liye room mile ga?????  beth k rona hai😌😌🙄  single hun bhae😂😂😂😂😂✌😌,1
190,"halala ki paidaish , andha hai  buddhe dikh nahin raha ki ye kisi ki shadi ka video hai.",0
191,11 11 ka koi rola na dalay,1
192,bc mujhe ye reply kyo de tha h.😡 maine to full negativity ki thi.,0
193, kaisy third class log hain ye..? ye kbhi sharminda b hon gy?,0
194,junrs say bna k rkhni chahiye....grad k bad bht kaam aatay hain ye chotay log,1
195,rundi kisi kunjri ki aulaad,0
196,  karma hits hard  ye jo dehshat gardi hai iss k peechaywardi hai,0
197,oh wao you made your slogan yes i know you are a bts ka hijra 😂🤘,0
198,not even a single soul.  i repeat  not a single person.   ju ja rha hai.. darwaza band kar k jaye..! . ,1
199,yahi to randdi hone ka saboot hai,0
200, shayad kisi ki yaad ma,1
201, 😂 ab pata chal gya hua hai,1
202,bssss dekhe mene abhi rundi rona krte hue,0
203,along with akhrot,1
204,dafan ho gaye watan se gaddari karne wale.. ab chahy barsi manao ya matam.. yahi anjaam hoga watan se gaddari karne walo ka  #article6forptmleadership ,0
205,inh koh majaa aata hai........tabhiii nahi mangii halala and triple talaq seh azzaaddiiii........,0
206,babur ki najayaz aulade hai ye sab.  jinke khadan wale dar kr sanatan chhor diye aur islamist ban gye. ab ye log hi bhaunk rhe hai.,0
207, try to forget what happened... nhi hoga tow na sahi,1
208, mehboob jab bar bar samnay aye tou dil me dard sa hota hai us se bachne ky liye log pehle migration krte thay ab block kr dete hain.,1
209, are dimag se andhe..do you know how to handle such situation?? to avoid any misshappening police start conversation and try to calm the situation..mujhe to lagta hai ki ye tum jaise logo ka hi plant kiya hua hathyar hai...,0
210,bc inka anthem sun kr kaanon ka cancer ho gaya ha🤣🤣🤣🤣🤣🤣🤣🤣,0
211, tum he hoe,1
212,"calling someone qadiani, yahoodi, making fun of his wife, u turn khan, selected, homosexual, and you hadn't had a foggiest notion of whats wrong with it. now all of sudden you woke up for bilawal... remember tractor trolly ???",1
213,randi nasal waly adki ki pehchan yahi hoti hai fake pic upload kr k propaganda krna madarchod,0
214,"i wish a film is made on the plight of forcefully castrated males by wives ,girlfriends and hijra mafia.these men are forced to live lives worse than death.even their own parents disown them.only  a case of grievous injury caused by  weapon is registered against offender #chappak",1
215,aree bhenchod teri maki aakk...akshay daar gaya or rohit bolkar date change karyodiya...chota star chakki ko mention pe bhi nahi kara canadien ,0
216,madam khud ki knowledge durust kro. kitne link mene tumko diye h halala case ke jisme aurat pregnant ho gayi h.,1
217,"samajh sakta hu tumhara dard charsi.  ab tumhe joke bhi nahi samajhta to main kya karu, madarsa main teacher to nahi lag sakta na.",0
218,o stupid insan.. molana bss apni kursi k liye niklta hy or bss pakistan ki hakomat k khilaaf. is yahodi agent k dill main na koi islam ki mohbat hy or na he pakistan ki,0
219, pata chaly wo mazak men galy par jaey 😂😂,1
220,sorry. would rather give that 1 rupee to a beggar than this charsi  .,0
221,resign kar kyun nahi dete? ??😛😛 ,1
222,launda phaans liya randi,0
223,aunty aap sunni shia barelvi ahmedi etc etc etc  kya ho🤔,0
224,is haftay bht hi ajeeb ajeeb cheezain samny ayee kuch din phly pta chla paras ki b army hh aj pta chla mahira k b faans hai #shehbaazonfire,1
225, maray mam key choice iteney bury niye jo tum ko pasand kar ly,0
226,are to jao behan mene kha na tum asim ko support kro me kha kh rhi hu ki usko support mt kro ya sana ko support kro tumhari jo marzi kro bs mera peecha chod do bhen faltu ka jhagada kr k kya milega tumhe,1
227, ye to un hi ko pta,1
228,yes.. pta nhi bc sidnaaz ka drama kyu ni khtm kr rhe ye log  #nomoresidnaaz,0
229,yahi hijra teri maa per charha to tu peda hua,0
230,"ek bat bataun, reply karne se moat nahi ati kardia karo bhenchod.(2)",0
231,"herbal medicine se sujan to nahi jaati par dard ka ahsaas khatam ho jata hai, after lathi charge. it helps them alot. wo dekhe nahi aapne charsi socks sungte rehte hai ? same cheez.",1
232, satya bhai samjh ni i mujhe k ap ko aisa q lagta he?  is our #hero,1
233,madarchod teri gand mari randi chood tere muh me kutte ka lund gadhe ki jhant fafund wale lund ke,0
234,bandr killa 😂😂😂😂😂,1
235,"ye bhosdiwale hai , inko dusro se nafrat hi sikhayi gayi hai , inhe bataya gaya hai dusre mazhab ke log jahannum me jayenge or inke mazhab ke suurma logo jannat me ko 72 virgin ladkiyo se nawaza jayega",0
236,probably a block is what they really wanted so that they could do randee roana 🙄,0
237,teri galaxy ki phudi mai mota sa lun dia hai tarp rehi hai wo,0
238,jab tak jahil awam zinda hai tab tak chor log is tarah k trend karte rahhe ge top bharwo k bacho pakistan army sab se best hai or we love pakistan army nawaz ganje mulla bharwe #nationdemandsunbiasedarmy,0
239,sir ye hamein na batayen k fake news hai. ye tu hamein b pata hai. app action len is channel k khilaf k woh fake news chala kaise rahe hain,1
240,maa ki dua👏 baap ki road🚘 #mustanggt,1
241, sir yahan justice ko bhe huqooq nahi miltay ager woh je huzoori na karay... aam admi ko to bhool jaen,1
242,bharwe awaz ari hai ???,0
243,chinki tu bahout bdl gyi hai rey.... 😟  #bb13,1
244,rt : ye joker log khan nahin munafik hai,0
245,hmmm point to be noted 🤔 koi na hum b bhabhi ko ni puchny gy 😂 ,1
246,allah is yahodi ko sakht sa sakht saza day,0
247,and will be allowed to escape ?!?! yahoodi agent hum se ziada qanoon k paband hain when it comes to corruption. they are more sincere to their country!,1
248,meray khiyal sy geo ko ab bas kerna chieye ye bohot ziada ho gia ha,1
249, fawad sir why u r so feared say in ur statement  that we r ready to fight ....,1
250,agr ap ke babu ny 2 mint late reply kiya is ka matlab daal main kuch kala hai ...🙊🤔,1
251,"you mean india is kafir ,pakistan is munafik & kashmir is momin😡😯??agar pakistan ma asey munafik hai to kashmir ma bhi to ap jesay munafik hai ma..",0
252,#slanty khaty huey jaan boojh kr 2-4 bed pr gira deta hn ta k baad m #surprise mily 😝🤣🙈😂,1
253,rt : faasla rakhein baad me ap kehty hain we are just friends 🙂,1
254,is gashti k bacho ka pir yahi kahna ha k jese is k bap navaz shrif ne kaha tha k india mane pakistan  ne dahmke karve ab ye kanjri ka bacha usi ki zuban bohl raha ha,0
255,  mere baitey achhi bhali teri karyaaney ki dukaan chal rahi thi.tu aisey hi maa behen aik karwaaney social media par ghuss gya hey 😂🤣,0
256,bohat kali or khuli phudi ha bai iski,0
257,bs khela ni jata ... bazu sun ho jata ha,1
258,   don't be rude bro sid zarur jeeta ga vo srf itni bt kr rahe hain ke makers ko agar doosera fandom ne biased ka pressure daala to makers shenaz ko win krein ge ise liye humein itni tagri voting krni he ke doosron ko jab sid jewta ye na kehna parw bigg boss biaswd #keepshiningsid,1
259,*desi mom b like* tu dahi leny ja raha hai ya nhi... ,1
260, axha  mujhe nahi pata tha,1
261,"aik jaise randi ronay hain hamaray. prepare well for your cies, pehlay walo main achay grades aayenge toh aagay motivation mille gi. considering you’re in class 10?",0
262,agr dum hai toh sana ki bach bitching ki video daal  abhi but dum hoga toh  tujhme dum nhi   ne mujhe block kia hai sab naak mai dum kro or video mango  saala syapa inka  #mahirakapappuparas  #shehbaazonfire ,1
263,chup bharwe hamesha kutte ki tarah bhokha rahta hai bc,0
264," o bibi ap skun kryn zra, nko lekr ana virus lekr any k brabr ha, wo 500 hyn, allah pak unki hifzt kryn yahan p pura mulk ha, just hold kryn apna b sochyn or mulk ka b unk any k bad unk ghr walo ko alg se tntion hoge, zra door ki soch lia kryn, hmry apny hyn, hm dua go hyn",1
265, itni bari sifarish krte hoe shrm ni ayi,0
266,ye kamini haramjaadi randi deepika ki us time moving nahi hogi  thuu hai aise intertenmet pe  tayag hai aaj se  desh pehale  thuu hai iske mooh pe,0
267, nhi nhi esi bhi bt nhi ap ny kha na k ap ka dil kr raha hy mry sath to bs is liay,1
268,rt : tere baap ne aur tmc ki amma ne part liya tha,0
269,sorry agr apko bura lagy but ye hi tu ajkal ki reality ha agr esa nhi tu batye .divorce ki percentage jo ladies ki traf se file ki jarhi ha almost 95%,1
270,"chod de bhai, you are trying to defend something that cannot be logically defended.",1
271,benefits of eating walnut (akhrot khane ke fayde) urdu hindi | urdu lab,1
272, lakh di lanat teri shakal teeee.,0
273,dekhi dekho kon gya youthion ki maan ka yaar aur behnon ka thoku gya  gali gali main shor hai niazi najaiz aulaad kafir yahoodi sikh marzai bhenchod hai,0
274,mere ko nai pta beta ki teri ma ko bdsm wilderness ke bad bestility me interest agya aur wo kutte se chudwa rahi hai.😂🤷 bahut aag baki hai teri ma ke choot me 😒 i'm missing her badly,0
275,"kasam se. mujhe lagta tha tareekh parhne waale bare qabil, empathy rakhne waale loug hain. phir humain hamari professor aik yahodi ki book talk pe le k gaye. wou itna parha likha insaan, jis ki kitaab harvard publish kr raha tha, usne puri kitaab muslim ko bura kehne k liye likhi",1
276,apni trah charsi samjha hua hai 🙄,0
277,bc nasal ki randi,0
278,ye kom bahanchod betichod or madarchod hoti hai. ye log apni ma bahan beti tak ko nahi chodtey never trust them in any condition.,0
279, q mobile to bht mehga h nokia 3310 ki offer deni thi na😂,1
280,"although both of us have opposing views on this issue, you summed up what i feel. no wonder who this woman sides with, aik number ki ch****a he rahegi.  apne apko celebrity samajhti hai ""do takay ki aurat"" 🤣🤣,",0
