,Tweet,Label,char_counts,word_counts,avg_wordlength,hashtag_counts,mentions_counts,digits_counts,clean_tweet
18,nhi walid sabh ne wo aksr tumri maa sey milne aty te.,0,42,12,3.5,0,0,1,nhi walid sabh aksr tumri maa sey milne aty te
19,ooper se sir g msla ye ha k this works too 😁😂,1,34,12,2.8333333333333335,0,0,0,ooper sir g msla ye ha k works
20, apk options thk ni hain....basically logon ko march pe ni slogans pe aitraz hai,1,66,14,4.714285714285714,0,0,1,apk options thk ni basically logon march ni slogans aitraz
21,"... want or change their religion.   #pakistan’s constitution does not give its citizens right to choose any religion or even change it, in fact it criminalizes and persecutes its own ahmaddiya muslim community (who are criminalized to not even call themselves muslims)",1,226,42,5.380952380952381,1,0,3,want change religion pakistan s constitution citizens right choose religion change fact criminalizes persecutes ahmaddiya muslim community criminalized muslims
22,abay saalay,0,10,2,5.0,0,0,0,abay saalay
23,  haaan mene b dekha thaa ye matermind nai dhokebaz hy,0,43,10,4.3,0,0,0,han mene b dekha thaa ye matermind dhokebaz
24,no we do not want a syria. peoples sects should he stated instead of accusations being fired hes ahmedi. etc . we are a sunni country it should remain that way.,1,130,31,4.193548387096774,0,0,4,want syria peoples sects stated instead accusations fired hes ahmedi sunni country remain way
25,aray bosdk 🌚 ✌️,0,12,4,3.0,0,0,0,aray bosdk
26, abi tk tu khair hi haa😂,1,18,6,3.0,0,0,0,tk khair haa
27,   hn ye sai hy 😂😂😂,1,12,5,2.4,0,0,0,hn ye sai
28,teri baji ko bhe ye he aitraz ha ha wesay patwari khota he tera asli abba ha beshak apni ami jan say puch lay baki imran yahodi bayghart kashmir frosh say to teri ami jan nay taste change kia ha imrani tati sahib,0,170,43,3.953488372093023,0,0,0,teri baji bhe ye aitraz ha ha wesay patwari khota tera asli abba ha beshak apni ami jan puch lay baki imran yahodi bayghart kashmir frosh teri ami jan nay taste change kia ha imrani tati sahib
29,masjid nhi tm mullo ka kabr khodunga wha madarchod halale ki paidaish ...10 baap ki aulaad .. pakistani kutte saale .. hindustan m rhte ho hm hindu log tmhare maa bhen chod denge bhen chod agr hmari dimag ki hti to,0,174,41,4.2439024390243905,0,0,3,masjid nhi tm mullo kabr khodunga wha madarchod halale paidaish 10 baap aulaad pakistani kutte saale hindustan m rhte hm hindu log tmhare maa bhen chod denge bhen chod agr hmari dimag hti
30,pechy auntie check kar bhai iskaa link milyy ga kia 😜😜👆,0,45,11,4.090909090909091,0,0,0,pechy auntie check bhai iskaa link milyy kia
31,    haan chal abb teri baari😁,1,21,5,4.2,0,0,0,abb teri baari
32,me right now: ye sun'ny k liye intzar kia tha! 😑😭 #pslv #psl2020 #tyyarhain ,1,62,14,4.428571428571429,3,0,1,right ye sunny k intzar kia pslv psl2020 tyyarhain
33,tum jesi ghatia aurat ka kam hi ni hai media par.kisi kothhay pe ja aur ulta late ja ke.begherat,0,78,19,4.105263157894737,0,0,2,tum jesi ghatia aurat kam ni media parkisi kothhay ulta late kebegherat
34,"bhai, koi tip hi de dyn phr aap? 😂😂",1,27,9,3.0,0,0,1,bhai tip dyn aap
35,haha randi saali geeli hoae tu,0,25,6,4.166666666666667,0,0,0,haha randi saali geeli hoae
36,rt : tf is wrong with arsenal. why the helll are you building from the backkkkk bhenchod where are your braincellss,0,95,21,4.523809523809524,0,0,1,tf wrong arsenal hel building back bhenchod braincellss
37,  mickey mouse dakho chup kar k 😤,0,25,7,3.5714285714285716,0,0,0,mickey mouse dakho chup k
38,rt : bhenchod pakad pakad ke musalmano se bayan le rahe hain 😬😂😂,0,52,13,4.0,0,0,0,bhenchod pakad pakad ke musalmano bayan rahe
39,bat bhagnaay ki nahi hai randi tu hai randi tujhsy to achay achay side pe hotay hai magar koi koi teri maa chodta hai un mai sy aj mai ek hogya jo teri maa chod gya,0,129,36,3.5833333333333335,0,0,0,bat bhagnaay nahi randi randi tujhsy achay achay magar teri maa chodta mai aj mai ek hogya teri maa chod
40,gandu dimag bahanchod senseless baatein bosdkbosdk  likhne se phle soch to,0,63,11,5.7272727272727275,0,0,0,gandu dimag bahanchod senseless baatein bosdkbosdk likhne phle soch
41,you need to research how many lands islam invaded in the 200 years after the hijra.,1,68,16,4.25,0,0,2,need research lands islam invaded 200 years hijra
42,aurat ho gy tum 😡😡,0,14,5,2.8,0,0,0,aurat tum
43,hello aunty he is just hitting his own thigh   kon si aankh se dekh rahi   yaa jyaad ho gya eeeks nakal gya rumhara   saali c grade bitch 😡😡🖕🏻🖕🏻🖕🏻,0,113,28,4.035714285714286,0,0,0,hello aunty hitting thigh kon si aankh dekh yaa jyaad eks nakal rumhara saali c grade bitch
44,  ja bibi maaf kar..🤣🤣,1,17,4,4.25,0,0,1,bibi maaf
45,dekh logo ko cheat b krre h ... or ek bhenchod hmara to koi katne ko b tyaar nhi 🥺,0,63,20,3.15,0,0,1,dekh logo cheat b krre h ek bhenchod hmara katne b tyaar nhi
46,   jab hogi tab bhonkna yaha pe kukku name pta karlena punjab matlab btau sidhe shabdo me ( rand ),0,77,19,4.052631578947368,0,0,0,jab hogi tab bhonkna yaha kukku pta karlena punjab matlab btau sidhe shabdo rand
47, hahahah rameen api pata nahi kahin parha tha id remember. khet ap keh rhi hyn thik hi hoga 🙊😂,1,75,19,3.9473684210526314,0,0,1,hahahah rameen api pata nahi kahin parha id remember khet ap keh rhi hyn thik hoga
48,buht zaberdast choice ha apke 👌,1,26,6,4.333333333333333,0,0,0,buht zaberdast choice ha apke
49,ji o chodry ustaad lgga en... india di pehn di siri,0,41,11,3.727272727272727,0,0,1,ji o chodry ustaad lgga en india di pehn di siri
50,   nai nai nai bilkul bhi nai matlab tum ho kon jiski my ny tension leni hy wo to aesy hi my msgs kar rahi thi ky meryum sahiba wapes a jain,1,107,31,3.4516129032258065,0,0,0,bilkul matlab tum kon jiski tension leni aesy msgs ky meryum sahiba wapes jain
51, lanti insan google kro phr bakwas kro ahlebait jan qurban hy tumhari trha nhe bughz main bhray hoay,0,82,18,4.555555555555555,0,0,0,lanti insan google kro bakwas kro ahlebait jan qurban tumhari trha nhe bughz bhray hoay
52,"admission ke liye tumhare pass i'd hai ,free ka gas ,home and so many nrc me tumhe kya problem yadi itna hi problems hain to pakistan bhag bhodsri saali",0,124,29,4.275862068965517,0,0,2,admission ke tumhare pass d free gas home nrc tumhe problem yadi itna problems pakistan bhag bhodsri saali
53,rt : black friday is yahoodi name..  so we are celebrating white/big friday 😝format yahoodi ho name yahoodi nahe hona chaye 😂,1,103,22,4.681818181818182,0,0,1,black friday yahoodi celebrating whitebig friday format yahoodi yahoodi nahe hona chaye
54, 😏😏😏 noi g mai backbencher thi,1,24,6,4.0,0,0,0,noi g mai backbencher
55,harrami police rishwat khore like imran chore zakat khore yahodi agents both are bajwa and imran chore destroyed pakistan and business of pakistan nation. lakh lanat teray jaman tay harrami qadiyani,0,168,31,5.419354838709677,0,0,1,harrami police rishwat khore like imran chore zakat khore yahodi agents bajwa imran chore destroyed pakistan business pakistan nation lakh lanat teray jaman tay harrami qadiyani
56,tukde tukde gang ke baare mein bhi bhaunk le kuch kutte...apne baap kanhaiya chutiye ke baare mein bol...keju kutte ke baare mein bol...namo forever 👍👍,0,127,25,5.08,0,0,3,tukde tukde gang ke baare mein bhaunk kutte apne baap kanhaiya chutiye ke baare mein bol keju kutte ke baare mein bol namo forever
57,yeh bh...ri ka mch bahut bhaunk raha hai now needs castration,0,51,11,4.636363636363637,0,0,1,bh ri mch bahut bhaunk needs castration
58,soch rha hn danish bhuk ki waja sy mara ha?,1,34,10,3.4,0,0,0,soch hn danish bhuk waja mara ha
59,phir tau aap dab sae bari ahmaq hain kay aapke mutabaq jo chief ahmaq hai uss say tau baray shauq say shadi kar lo thi.,0,95,25,3.8,0,0,1,phir tau aap dab sae bari ahmaq kay aapke mutabaq chief ahmaq uss tau baray shauq shadi lo
60,"trri pen ki chooli q jalti ha randi k bachy  tera kia kaam army k mamlaat mein bolny ka ,  or haram k pillay tum lpg deshat ghard ho harami  afghani nikalo humary mulk say ,  tum ne apny haramiyun k sath  firing kr k q jawan shaheed kiay ?  kis yahodi k tookron pe palta ha tu kuttay",0,219,59,3.711864406779661,0,0,2,trri pen chooli q jalti ha randi k bachy tera kia kaam army k mamlaat mein bolny haram k pillay tum lpg deshat ghard harami afghani nikalo humary mulk tum apny haramiyun k sath firing k q jawan shaheed kiay yahodi k tookron palta ha kuttay
61, cigrette vale pe b blush kiye thee,1,28,7,4.0,0,0,0,cigrette vale b blush kiye thee
62,ps: main bhi small handle hoon.🙏🙏 abhi abhi ek bhai saheb taana maar ke gaye hain 😀😀,1,68,17,4.0,0,0,1,ps small handle hoon abhi abhi ek bhai saheb taana maar ke gaye
63,  hmain tou nzr nai ain kbhi teri stories😜😂😂,1,35,8,4.375,0,0,0,hmain nzr ain kbhi teri stories
64,sardar mat bol isko yr or kuch bhi bol ganda sa sardar nhi hai aurat ki respect nhi karta asli nhi hai,0,81,22,3.6818181818181817,0,0,0,sardar mat bol isko yr bol ganda sa sardar nhi aurat respect nhi karta asli nhi
65,aap 11 se pehle daal lia krien us me jo kch dalna ho,1,40,13,3.076923076923077,0,0,1,aap 11 pehle daal lia krien dalna
66,wah g munafiqat pm to charsi he hai hamara jaha marzi ho banda pm hamara woi rahey ga apeal be usi ko kerni,0,85,23,3.6956521739130435,0,0,0,wah g munafiqat pm charsi hamara jaha marzi banda pm hamara woi rahey apeal usi kerni
67,atankwadi pragya kya wo tere maa baap ko bomb se udai kya jo tu chutiya paida hua or digvijay singh jo rishte me tera baap lagta h usne bola tha hafiz sahid ji osama ji samjha n gutterchhap.,0,153,38,4.026315789473684,0,0,1,atankwadi pragya tere maa baap bomb udai chutiya paida hua digvijay singh rishte tera baap lagta h usne bola hafiz sahid ji osama ji samjha n gutterchhap
68,date pe bill khud pay kro. #stopauratbarbadimarch,1,43,7,6.142857142857143,1,0,1,date khud pay kro stopauratbarbadimarch
69,    pattharbaazi aur public property wahi damage karte jo 10-10 bachche paida karke 1 paise ka tax na dete. jinki jeb se paisa jaata unhe hi kadar hoti. abhi jo tax dete wo dikhayenge 2024 mein 2019 ka repeat telecast 😂,1,176,40,4.4,0,0,7,pattharbaazi public property wahi damage karte 1010 bachche paida karke 1 paise tax dete jinki jeb paisa jaata unhe kadar hoti abhi tax dete dikhayenge 2024 mein 2019 repeat telecast
70,q kasa diya .#coronarvirus bhai please bachoo is virus se #help karo bus ki.#godsaveus ,1,73,14,5.214285714285714,1,0,2,q kasa diya coronarvirus bhai bachoo virus help karo bus ki godsaveus
71,hahaha pahly sochun ga phir nah kah dunga,1,34,8,4.25,0,0,0,hahaha pahly sochun phir nah kah dunga
72,  kis k jahaz pe gai sawal ye hai😜😜😜😜😜,1,29,8,3.625,0,0,0,k jahaz sawal ye hai
73,   bhai aap bhi samjho. sirf 20 seconds mein sara drama pura. media coverage walon ko koi darr nhi. gajjab!!!! 🤔🤔🤔🤔🤔  ,1,94,20,4.7,0,0,4,bhai aap samjho sirf 20 seconds mein sara drama pura media coverage walon darr nhi gajjab
74, mujhe tm par fakhr h tumhe main bohat bohat pasnd karta ho i really like you agr meri baat achi lage to reply karna,1,92,24,3.8333333333333335,0,0,0,mujhe tm fakhr h tumhe bohat bohat pasnd karta like agr meri baat achi lage reply
75,bahanchod kash us din teri maa ne oral hi kr lia hota,0,42,12,3.5,0,0,0,bahanchod kash din teri maa oral lia
76,lun pr charey  apni marzi se aye hain bharwe,0,35,9,3.888888888888889,0,0,0,lun pr charey apni marzi bharwe
77,le ab toh effect mein bhi aa gaya...ab ek kar burnol laga le...🤣🤣🤣🤣🤣🤣 kuch ukhad payi kya abhi tak pakistani suariya...tere saath ke kutte bhi bas bhaunk paye ...,0,134,29,4.620689655172414,0,0,4,toh effect mein aa ek burnol laga ukhad payi abhi tak pakistani suariya tere saath ke kutte bas bhaunk paye
78, na andha na bahra pyar chalak hota ha 🎶,1,31,9,3.4444444444444446,0,0,0,andha bahra pyar chalak ha
79,rao jee apke peechay konsi mehwish parr gayi hai.,1,41,9,4.555555555555555,0,0,1,rao jee apke peechay konsi mehwish parr gayi
80, allah ki mehrbani se dushman per lanat,0,32,7,4.571428571428571,0,0,0,allah mehrbani dushman lanat
81,nicknames of my friends are quite unique. 1. basanti💃 2. charsi👺 3. billo😸 4. saddiqui chowk😜 5. neeli🤣,1,86,18,4.777777777777778,0,0,6,nicknames friends unique 1 basanti 2 charsi 3 billo 4 saddiqui chowk 5 neeli
82,  dekh sab ko pata ke ab tu mujhe yaad nii krti🙂,1,36,11,3.272727272727273,0,0,0,dekh sab pata ke mujhe yaad nii krti
83,g bilkul laanat ho aesi kartuton par..!! this is clear violation of military sops. budhhay ko sharam karni chahiye thori si..!,0,106,21,5.0476190476190474,0,0,3,g bilkul laanat aesi kartuton clear violation military sops budhhay sharam karni chahiye thori si
84,tumse to wo bhi nhi bach pa rahi 🤣🤣🤣,1,28,9,3.111111111111111,0,0,0,tumse nhi bach pa
85, kon hai headr mein ? 👀,1,17,6,2.8333333333333335,0,0,0,kon headr mein
86,wasy ek cheze nahi kahi pm ny  pakistani o ghabrana nahi ha,1,47,12,3.9166666666666665,0,0,0,wasy ek cheze nahi kahi pm pakistani o ghabrana nahi ha
87,"chandrachud ki sahi li jaa rahi hai, lekin ye bhenchod nazeer ko free pass  kaise mil raha hai?",0,77,18,4.277777777777778,0,0,1,chandrachud sahi li jaa lekin ye bhenchod nazeer free pass kaise
88," apki behuda soch kisi b logo k pichy chupy iska pata logo ko chal hi jana hy, bs dukh is baat ka hy k hamary kuch bewaqoof log bina sochy aap jesi aurato ki bato me ajaty hyn.",0,138,38,3.6315789473684212,0,0,2,apki behuda soch kisi b logo k pichy chupy iska pata logo bs dukh baat k hamary bewaqoof log bina sochy aap jesi aurato bato ajaty hyn
89,"rt :  are jo baag mein betthe hai unko samjho, tum ko samj mein aa gaya to kya laddu bante 😊😊😁😁",1,74,21,3.5238095238095237,0,0,1,baag mein betthe unko samjho tum samj mein aa laddu bante
90,  na na koi buri bat nhi khudh bhi stalk krti aap,1,37,11,3.3636363636363638,0,0,0,buri bat nhi khudh stalk krti aap
91,"ye kia bolrhy janab. pcb na hire ki ha through bid , tu they have gone through some bid at first. wo dainga na paisay pcb ko , aue khud wo ad's sa kamah ga aur viewershop etcetc sa",1,142,39,3.641025641025641,0,0,4,ye kia bolrhy janab pcb hire ha bid gone bid dainga paisay pcb aue khud ad s sa kamah viewershop etcetc sa
92,aby gashti aurat apni mou say b allah ka naam na lay,0,41,12,3.4166666666666665,0,0,0,aby gashti aurat apni mou b allah naam lay
93,"sc tou abhi bhi pro niazi hai , niazi ki khwahish par ns ko disqualify kya , wahan case kyon nahi jata niazi apna randi rona lay kar?",0,106,28,3.7857142857142856,0,0,2,sc abhi pro niazi niazi khwahish ns disqualify wahan case kyon nahi niazi apna randi rona lay
94,yahan ki fizaaaa randi hai mitti to phir andaza laga lo,0,45,11,4.090909090909091,0,0,0,yahan fiza randi mitti phir andaza laga lo
95,bahanchod pant ye bsdk deserve karta hai international cricket me.  #indvban,0,65,11,5.909090909090909,1,0,1,bahanchod pant ye bsdk deserve karta international cricket indvban
96, pta nahi is bry me mujhy.. dekhny wlai ankh py dipnd hota hai.. wo wesa he dekhta hai yan nzren bdl k..,1,82,22,3.727272727272727,0,0,3,pta nahi bry mujhy dekhny wlai ankh py dipnd wesa dekhta yan nzren bdl k
97,"agreed. but you have to take the point ""controversy"" just like you mentioned him ""daku"". proof to ap k pas b nai mgr zuban zadd e am bat hy to keh di ap ny b.. same like ritchie ny b mention kia k aisi baten suni gai hain. leave this now",1,187,51,3.6666666666666665,0,0,4,agreed point controversy like mentioned daku proof ap k pas b mgr zuban zadd e bat keh di ap b like ritchie b mention kia k aisi baten suni leave
98, phr tu tmko tension lene ki zarorat nii,1,32,8,4.0,0,0,0,tmko tension lene zarorat nii
99,"so bilowal calling him beghairat,all those mullah brigades called him qadiyani, yahoodi talking abt hiswife, who has nothing to do with politics, is justified but he cant say anything?? what a logic.he can do and say whatever the fuck he want to. he is pm. u r nothing but a zero",1,229,51,4.490196078431373,0,0,7,bilowal calling beghairat mullah brigades called qadiyani yahoodi talking abt hiswife politics justified logiche fuck want pm u r zero
100, 😂😂😂 yeh tu bilkul. mery bety ki trha baat kr rha hi,1,40,12,3.3333333333333335,0,0,1,bilkul mery bety trha baat
101,lakh lanat jhoota munafiq tareen yahodi imran chore zakat khore yahodi agents both are bajwa and imran chore zakat khore destroyed pakistan,0,118,22,5.363636363636363,0,0,0,lakh lanat jhoota munafiq tareen yahodi imran chore zakat khore yahodi agents bajwa imran chore zakat khore destroyed pakistan
102,bus aik moka ki talash mei hota hai jany wala👣 bhi or nibhany wala bhai 💔 ,1,58,16,3.625,0,0,0,bus aik moka talash mei jany wala nibhany bhai
103,aby saalay😂😂😂,0,12,2,6.0,0,0,0,aby saalay
104,when your friends talking  about you: tu boht bda harami h me:😂👇,0,52,12,4.333333333333333,0,0,0,friends talking boht bda harami h
105,lo pakistan marne i ha 😐 ye tw ase ha k ao mujy qandeel bnao,0,46,15,3.066666666666667,0,0,0,lo pakistan marne ha ye tw ase ha k ao mujy qandeel bnao
106, i love gurh walay rice. kal he amma ko gurh laa k deta hun,1,45,14,3.2142857142857144,0,0,1,love gurh walay rice kal amma gurh laa k deta
107, 😕😕mobile kahan sa aagya bech main😕,1,29,6,4.833333333333333,0,0,0,mobile kahan sa aagya bech main
108,kitne paise liye the randi ne is video ke liye,0,37,10,3.7,0,0,0,kitne paise randi video ke
109,"doob maro police waalo, jiska skull faad diya gaya bhenchodo usi ladki k khilaaf f.i.r kr di, ye tumhare baap itne khule statement de rhe h to gaand fat rhi h action lene me, abvp walo ko sympathy de rhe the aram se rehne ko or bharat mata ki hai,thu hai aise bharat maa kehne pr",0,224,56,4.0,0,0,6,doob maro police waalo jiska skull faad diya bhenchodo usi ladki k khilaaf fir di ye tumhare baap itne khule statement rhe h gaand fat rhi h action lene abvp walo sympathy rhe aram rehne bharat mata thu aise bharat maa kehne pr
110,randi he😂,0,8,2,4.0,0,0,0,randi he
111,toh kya teri bahen ya amma k naam ka church banao bol bhadwe suar ki nasal bat izzat se kar izzat milegi nahi toh teri har ek nasal yaad karegi mereku teri maaa bhos,0,132,34,3.8823529411764706,0,0,0,toh teri bahen amma k naam church banao bol bhadwe suar nasal bat izzat izzat milegi nahi toh teri har ek nasal yaad karegi mereku teri ma bhos
112,bahanchod chutiye sale ek hi tweet sare copy karte hai. pata nahi chal pata original kiska hai.,0,79,17,4.647058823529412,0,0,2,bahanchod chutiye sale ek tweet sare copy karte pata nahi pata original kiska
113,rt : man why’s the tims line on campus always so long. beghairat insaano kabhi ghar se bhi cha pee ke ajao. fitteh mooh saareyan…,0,105,25,4.2,0,0,2,man s tims line campus long beghairat insaano kabhi ghar cha pee ke ajao fitteh mooh saareyan
114,zawaal ka ye alam hai k inko pta e nahi k pull short front foot py khelni ya back foot py..  shayd yahi wajah hmary players bouncy tracks py khel nahi sakty.  i hope  inki technique me bahtre layn gy. dear anchors need comments please.   ,1,188,45,4.177777777777778,0,0,4,zawaal ye alam k inko pta e nahi k pull short foot py khelni foot py shayd yahi wajah hmary players bouncy tracks py khel nahi sakty hope inki technique bahtre layn dear anchors need comments
115,abe chutiye suar 🐖...wo jab dawa kiya tha tab tera baap tha wo aur aaj jb tu bol rha tab antonio teri ammy aur powar tera baap h,0,101,28,3.607142857142857,0,0,1,abe chutiye suar jab dawa kiya tab tera baap aaj bol tab antonio teri ammy powar tera baap h
116, to aur kon hy dkho twitter walon ko b pta chal gya 😂😂,1,41,13,3.1538461538461537,0,0,0,kon dkho twitter walon b pta
117, ye aurat march liberal women ka h jo khud corrupt hain mein is march k way k against hn jo hashtag wo b ghalat h march ho but according rights k hon na k barabari pa ho,1,132,37,3.5675675675675675,0,0,0,ye aurat march liberal women h khud corrupt mein march k way k hn hashtag b ghalat h march according rights k hon k barabari pa
118,hinduon me halala aur triple talaq jaisi koi cheez nai hoti.,1,50,11,4.545454545454546,0,0,1,hinduon halala triple talaq jaisi cheez hoti
119,"before #pakistan starts criticizing norway, australia or anybody else for islamophobia, we should ensure that our own ahmedi, hindu, christian citizens are treated equally and with dignity. fix your own damn house first!",1,188,33,5.696969696969697,1,0,5,pakistan starts criticizing norway australia anybody islamophobia ensure ahmedi hindu christian citizens treated equally dignity fix damn house
120,"hope they could have stand against triple talaq, halala, nikah mutah, polygamy, child marriage than they could have done justice to the gender",1,120,23,5.217391304347826,0,0,4,hope stand triple talaq halala nikah mutah polygamy child marriage justice gender
121,hnss bad me lna pehly khilao ab😌 tera via fr jaldi ho jye ga😂😂,1,49,14,3.5,0,0,0,hnss bad lna pehly khilao ab tera fr jaldi ga
122,"raat ko mei ney khawab dekha mujy isi waly utha k ley ja rhy hin.. 😂😂 aur mei dil mei soch rahi thi kitny handsome hin.. acha hi ley k ja rahy, roz dekhny ko milin gaye. 😂😂😂😂😂😂😋",1,140,38,3.6842105263157894,0,0,4,raat mei ney khawab dekha mujy isi waly utha k ley hin mei dil mei soch kitny handsome hin ley k rahy roz dekhny milin gaye
123,aik to ap sedhi bat ko b nagetive hi lati ho phly hi kha tha positive lo r nazar aa rha ha miner kon la rha ma ya ap,1,88,29,3.0344827586206895,0,0,0,aik ap sedhi bat b nagetive lati phly kha positive lo r nazar aa ha miner kon la ma ap
124,rt : bchoo follow kroo sahab hoo ❤️ burry kam chor diya hain bhai ny 🤐,1,55,16,3.4375,0,0,0,bchoo follow kroo sahab hoo burry kam chor diya bhai
125,kya in islamic leaders ko ye nhi pta ky kisi ky character pr buhtaan ya thhmat nhi lgaty kon sa islam prha hy or kis islam ki roh sy ye imran khan ko yahodi khty hyn  sharam aani chahiay inhy apni garkton py,0,164,43,3.813953488372093,0,0,0,islamic leaders ye nhi pta ky kisi ky character pr buhtaan thhmat nhi lgaty kon sa islam prha islam roh ye imran khan yahodi khty hyn sharam aani chahiay inhy apni garkton py
126,roz dil udaas ho jata hai lekin damjh nahi aati udassi kis baat pe hai💔,1,57,15,3.8,0,0,0,roz dil udaas lekin damjh nahi aati udassi baat hai
127,yeah aink wala dado abusing krta hijra net par baat kar is ki lee kaal mai bhot hijra hai yeah😂😂😂,0,78,20,3.9,0,0,0,yeah aink dado abusing hijra net baat lee kaal mai bhot hijra yeah
128, ni na main dhundugi na tumhary lie koi churail pareshan mat jo tim,0,54,13,4.153846153846154,0,0,0,ni dhundugi tumhary lie churail pareshan mat tim
129,tune badi randiya chodi hai na. bada aya. ma yawa.,0,41,10,4.1,0,0,3,tune badi randiya chodi bada aya ma yawa
130,😂😂 bhai abhi toh shadi kon karwaega  bhai..!!  sirf milake chod diya tumne 😂😂,1,62,14,4.428571428571429,0,0,1,bhai abhi toh shadi kon karwaega bhai sirf milake chod diya tumne
131,"haram khor ha yh media,, mathrchod ki olad",0,35,8,4.375,0,0,1,haram khor ha yh media mathrchod olad
132, chalo aap kehti hain to maan lete hain,1,31,8,3.875,0,0,0,chalo aap kehti maan lete
133,guys i found utterly idiot.   lol   muh se akhrot todne ke liye  muh mein dant ki jarurat hoti hai  🤣  muh mein le le for time been. 😉,0,100,28,3.5714285714285716,0,0,2,guys utterly idiot lol muh akhrot todne ke muh mein dant jarurat hoti muh mein time
134,"  hahahah mgy b kuch samg nae a raha, hum b awean lagy huy hai.. be a part of it awaen boli jaoo ap b kuch b 🌚🌚😂😂",1,85,27,3.1481481481481484,0,0,2,hahahah mgy b samg nae b awean lagy huy awaen boli jaoo ap b b
135,maine bhi yahi para ha yar,1,21,6,3.5,0,0,0,maine yahi para ha yar
136,wait i'm coming for fixing your heart 😂😂😂 btw yaar kasme 2 din sey neend nai a rahi pta nai kiun,1,76,21,3.619047619047619,0,0,1,wait m coming fixing heart btw yaar kasme 2 din sey neend pta kiun
